@relation train

@attribute sent_num_word numeric
@attribute pos_cont_uni numeric
@attribute pos_prob_uni numeric
@attribute neg_count_uni numeric
@attribute neg_prob_uni numeric
@attribute neu_count_uni numeric
@attribute neu_prob_uni numeric
@attribute pos_cont_bi numeric
@attribute pos_prob_bi numeric
@attribute neg_count_bi numeric
@attribute neg_prob_bi numeric
@attribute neu_count_bi numeric
@attribute neu_prob_bi numeric
@attribute pos_cont_tri numeric
@attribute pos_prob_tri numeric
@attribute neg_count_tri numeric
@attribute neg_prob_tri numeric
@attribute neu_count_tri numeric
@attribute neu_prob_tri numeric
@attribute sen_char_meann numeric
@attribute nesbat numeric
@attribute jacard numeric
@attribute moshabeh numeric
@attribute gheir_moshabeh numeric
@attribute class {pos,neg,neu}

@data
15,15,12.064118,12,2.743411,12,1.192471,14,12.843432,6,0.803844,4,0.352724,13,12.9,1,0.1,0,0,3.466667,0.882353,0.2,22,5,pos
9,9,5.824049,9,2.44428,9,1.731671,7,3.121717,7,1.804523,8,3.07376,3,1.409894,5,1.314076,7,4.27603,3,1.8,0,2,6,neu
9,9,7.6739,7,0.800646,7,0.525454,8,7.409076,3,0.708537,4,0.882388,7,6.777778,0,0,1,0.222222,4.111111,0.642857,0.047619,4,5,pos
4,4,3.268876,4,1.032849,4,0.698275,3,3,1,0.666667,1,0.333333,2,2,0,0,0,0,4.5,0.235294,0,1,3,pos
13,13,10.484516,11,1.762718,10,0.752766,12,10.85647,4,0.63706,4,0.50647,11,11,0,0,0,0,4.230769,1,0.086957,8,9,pos
15,15,12.881066,13,2.983092,10,1.135842,14,12.9442,7,0.677721,4,0.378078,13,12.769853,3,0.171324,1,0.058824,4.6,1.153846,0.08,22,6,pos
9,9,7.25151,8,1.831181,7,0.917309,8,7.097599,3,0.692168,2,0.210232,7,7,0,0,0,0,4,0,0,0,9,pos
14,14,11.236948,14,5.108344,13,1.654708,13,10.122083,13,3.250502,5,0.627415,12,8.157143,12,4.842857,0,0,3.928571,1.555556,0.15,2,11,pos
12,12,9.954604,10,2.081404,10,0.963992,11,10.306785,6,0.555305,4,0.13791,10,9.807143,3,0.167857,1,0.025,3.416667,0.857143,0.136364,5,8,pos
6,6,4.567049,5,1.445494,6,0.987458,5,4.75,0,0,1,0.25,4,4,0,0,0,0,3.833333,0.75,0.076923,2,4,pos
7,7,6.227545,4,0.58683,4,0.185625,6,5.746032,2,0.212302,1,0.041667,5,5,0,0,0,0,5.285714,0.7,0.066667,2,5,pos
10,10,8.07006,9,1.234032,9,0.695908,9,7.758837,4,1.499573,5,1.74159,8,7.75,0,0,2,1.25,3.5,1.25,0.384615,12,3,pos
3,3,2.672615,3,1.164017,2,0.163368,2,2,0,0,0,0,1,1,0,0,0,0,6.666667,0.375,0.1,2,2,pos
3,3,2.570735,2,0.299404,1,0.12986,2,2,0,0,0,0,1,1,0,0,0,0,3.333333,1,0,2,2,pos
6,6,5.015693,6,1.342358,4,0.64195,5,4.552536,2,0.393116,1,0.054348,4,4,0,0,0,0,4,0,0,0,6,pos
6,6,5.444914,6,3.057575,4,0.497511,5,4.609175,4,1.218079,3,0.172747,4,3.879279,2,1.066667,1,0.054054,4,1,0,0,6,pos
3,3,1.946181,3,0.696829,3,0.35699,1,0.666667,2,1.333333,0,0,0,0,1,1,0,0,2.333333,0.5,0,0,3,neg
9,9,7.10487,7,1.556722,9,2.338408,5,4.27094,3,1.099256,8,3.629803,4,3.321021,2,0.128378,7,3.550601,4.666667,1.8,0,4,5,neu
5,5,3.296999,5,0.940722,5,0.762279,4,3.19697,2,0.30303,1,0.5,3,3,0,0,0,0,3.6,0.555556,0,5,3,pos
3,3,2.853896,2,0.665945,2,0.480159,2,2,0,0,0,0,1,1,0,0,0,0,6.666667,0.6,0,0,3,pos
7,7,6.013541,6,0.69482,5,0.291639,6,5.947335,3,1.052665,0,0,5,5,0,0,0,0,4.857143,2.333333,0,0,7,pos
8,8,6.743528,7,1.503793,7,0.752679,7,6.505052,3,0.300389,3,0.194559,6,5.921053,1,0.078947,0,0,3.75,1.142857,0.071429,8,5,pos
13,13,10.906731,12,3.317543,11,1.775726,12,10.860465,6,1.280228,3,0.859307,11,11,0,0,0,0,4.692308,1.181818,0.043478,1,12,pos
9,9,7.785196,8,0.98551,7,1.229294,8,7.481818,3,0.875325,1,0.642857,7,7,0,0,0,0,5.222222,0.818182,0.052632,2,8,pos
14,14,11.547326,11,1.935608,10,1.517066,13,12.042446,5,0.744923,5,1.212631,12,11.894737,1,0.105263,1,1,4.142857,1.555556,0,2,11,pos
11,11,9.130525,9,1.289808,9,0.579667,10,9.595109,2,0.404891,0,0,9,9,0,0,0,0,4.909091,0.785714,0.095238,6,6,pos
8,8,6.304539,7,1.710859,7,0.984602,7,5.827035,6,2.483013,4,0.689953,6,6,0,0,0,0,3.625,0.727273,0.125,9,3,pos
7,7,5.72471,7,0.911246,7,0.364044,6,5.556426,2,0.284483,1,0.159091,5,5,0,0,0,0,3.428571,0.875,0.25,7,3,pos
10,10,7.751662,8,2.353378,8,0.894961,9,8.333333,2,1,1,0.666667,8,8,0,0,0,0,4.9,1.428571,0,7,7,pos
9,9,8.058462,6,1.636071,5,0.305467,8,8,0,0,0,0,7,7,0,0,0,0,4.111111,0.9,0,6,6,pos
2,2,1.201063,2,1.226415,2,0.572522,1,1,1,1,0,0,0,0,0,0,0,0,3.5,0.666667,0,0,2,neg
6,6,5.290939,5,1.120966,3,0.588094,5,5,1,1,0,0,4,4,0,0,0,0,4.5,3,0,0,6,pos
6,6,3.520918,6,1.54911,6,0.929973,3,1.182943,4,1.954849,5,2.862207,0,0,2,0.291667,4,3.708333,3.833333,1,0,0,6,neu
6,6,3.313936,6,2.107034,6,0.57903,3,0.919649,5,3.373885,3,0.706466,1,0.333333,4,3.666667,0,0,4.666667,2,0,1,5,neg
5,5,3.963083,4,0.588759,3,0.448158,4,4,0,0,0,0,3,3,0,0,0,0,3.4,1,0,1,4,pos
5,5,3.688924,4,0.640618,4,0.670458,4,3.133053,1,0.111111,3,0.755836,3,2.857143,0,0,1,0.142857,3.2,1,0,2,4,pos
2,2,1.834074,2,0.79299,2,0.372936,1,1,1,0.909091,1,0.090909,0,0,0,0,0,0,3.5,0.285714,0.125,3,1,pos
8,8,6.174744,8,1.419781,8,2.405475,7,6.241353,4,0.674959,3,1.083687,6,5.875,1,1,1,0.125,4.625,0.888889,0.307692,7,2,pos
9,9,6.845357,9,1.446511,9,0.708132,8,6.182141,6,1.005893,8,0.811967,7,5.856345,4,0.559572,5,0.584082,3.111111,1.8,0,1,8,pos
7,7,5.50907,6,1.148275,6,0.342655,6,5.549244,3,1.405042,1,0.045714,5,4.933333,1,0.066667,0,0,3.428571,0.875,0,4,4,pos
